Rank|Name|Affiliation|Country|H-Index|Citations|Specialty
356|Eric B. Rimm|Harvard University|USA|16|220,083|Nutritional Epidemiology
357|Robert M. Califf|Duke University|USA|15|260,297|Cardiovascular Trials
358|Irving L. Weissman|Stanford University|USA|15|253,174|Stem Cell Biology
359|Hans Clevers|Hubrecht Institute|Netherlands|14|261,683|Organoid Biology
360|Kenneth W. Kinzler|Johns Hopkins University|USA|14|350,112|Cancer Genetics
361|Carlo La Vecchia|University of Milan|Italy|13|200,047|Clinical Epidemiology
362|Nora D. Volkow|National Institute on Drug Abuse (NIH)|USA|13|161,404|Addiction Science
363|Rory Collins|University of Oxford|UK|12|315,630|Clinical Trial Methodology
364|Ali H. Mokdad|University of Washington|USA|12|333,816|Global Health Metrics
365|Gregg L. Semenza|Johns Hopkins University|USA|11|194,532|Hypoxia Signaling
366|Gerald I. Shulman|Yale University|USA|11|162,420|Metabolic Physiology
367|Michael John Owen|Cardiff University|UK|10|208,350|Neuropsychiatric Genetics
368|Jeffrey L. Cummings|University of Nevada, Las Vegas|USA|10|196,481|Alzheimer’s Drug Development
369|Jerome I. Rotter|UCLA Medical Center|USA|9|185,061|Medical Genetics
370|Tomas Hökfelt|Karolinska Institute|Sweden|9|149,012|Neurohistology
371|Anders Björklund|Lund University|Sweden|8|109,812|Neural Repair
372|Frederik Barkhof|University College London|UK|8|168,946|Neuroradiology
373|Silvia Franceschi|CRO Italy|Italy|7|168,047|Cancer Epidemiology
374|Bernard J. Gersh|Mayo Clinic|USA|7|185,593|Clinical Cardiology
375|Elaine S. Jaffe|National Institutes of Health|USA|6|176,235|Hematopathology
376|Bruce L. Miller|University of California, San Francisco|USA|6|174,645|Behavioral Neurology
377|Mitch Dowsett|Royal Marsden Hospital|UK|5|137,921|Breast Cancer Endocrine Therapy
378|Ron D. Hays|University of California, Los Angeles|USA|5|122,202|Patient-Reported Outcomes
379|Stephen O’Rahilly|University of Cambridge|UK|4|109,715|Severe Obesity Genetics
380|Nikhil C. Munshi|Harvard University|USA|4|107,507|Multiple Myeloma Genomics
381|Richard A. Deyo|Oregon Health & Science University|USA|3|121,987|Low Back Pain Research
382|Patrick C. Walsh|Johns Hopkins University|USA|3|116,308|Nerve-Sparing Prostatectomy
383|Dan M. Roden|Vanderbilt University|USA|2|106,556|Pharmacogenomics
384|Cesar G. Victora|Federal University of Pelotas|Brazil|2|140,882|Global Child Nutrition
385|Majid Ezzati|Imperial College London|UK|1|225,520|Global Risk Factor Analysis
386|James G. Herman|University of Pittsburgh|USA|1|172,203|DNA Methylation
387|Alec Vahanian|Université Paris Cité|France|1|152,097|Structural Heart Interventions
388|Neil Risch|University of California, San Francisco|USA|1|99,202|Genetic Epidemiology
389|Peter J. Ratcliffe|University of Oxford|UK|1|95,314|Oxygen Sensing
390|Madhukar H. Trivedi|UT Southwestern Medical Center|USA|1|90,917|Depression Clinical Trials
391|Geraldine Dawson|Duke University|USA|1|84,097|Autism Early Intervention
392|William G. Kaelin Jr.|Dana-Farber Cancer Institute|USA|1|189,000|Hypoxia & Tumor Biology
393|Gary Ruvkun|Harvard Medical School|USA|1|175,000|microRNA Biology
394|Shimon Sakaguchi|Osaka University|Japan|1|170,000|Regulatory T Cells
395|Feng Zhang|Broad Institute|USA|1|165,000|CRISPR Engineering
396|Emmanuelle Charpentier|Max Planck Unit|Germany|1|160,000|CRISPR-Cas9
397|Jennifer A. Doudna|University of California, Berkeley|USA|1|158,000|CRISPR-Cas9
398|Katalin Karikó|University of Pennsylvania|USA|1|150,000|mRNA Therapeutics
399|Drew Weissman|University of Pennsylvania|USA|1|148,000|mRNA Immunology
400|Michel Sadelain|Memorial Sloan Kettering|USA|1|142,000|CAR-T Engineering
401|Lotte B. Knudsen|Novo Nordisk|Denmark|1|138,000|GLP-1 Drug Development
402|Svetlana Mojsov|Rockefeller University|USA|1|130,000|GLP-1 Biology
403|Joel F. Habener|Harvard Medical School|USA|1|125,000|Glucagon Gene Discovery
404|Zhijian “James” Chen|UT Southwestern|USA|1|180,000|cGAS Pathway
405|Demis Hassabis|DeepMind|UK|1|170,000|AI Structural Biology
406|John Jumper|DeepMind|UK|1|165,000|AlphaFold
407|David A. Bennett|Rush University|USA|68|179,556|Alzheimer’s Pathology
408|Daniel R. Weinberger|Johns Hopkins University|USA|67|179,076|Neurogenetics
409|Eric J. Nestler|Icahn School of Medicine at Mount Sinai|USA|67|167,370|Molecular Psychiatry
410|Naveed Sattar|University of Glasgow|UK|66|203,262|Metabolic Medicine
411|William J. Sandborn|University of California, San Diego|USA|66|176,145|Inflammatory Bowel Disease
412|Stefan D. Anker|Charité – Berlin|Germany|65|263,761|Heart Failure
413|Dennis J. Selkoe|Brigham & Women’s Hospital|USA|65|236,826|Alzheimer’s & Amyloid
414|Gregg C. Fonarow|UCLA|USA|64|199,463|Cardiology Outcomes
415|Jens J. Holst|University of Copenhagen|Denmark|64|160,171|Incretin Hormones
416|Deepak L. Bhatt|Mount Sinai Hospital|USA|63|192,591|Cardiovascular Trials
417|David Cella|Northwestern University|USA|63|165,527|Outcomes Research
418|Gordon J. Freeman|Harvard University|USA|62|161,793|PD-1 Signaling
419|Carl H. June|University of Pennsylvania|USA|62|158,837|CAR-T Therapy
420|Napoleone Ferrara|UC San Diego|USA|61|200,961|Anti-VEGF Oncology
421|Rinaldo Bellomo|Monash University|Australia|61|204,833|Intensive Care
422|Dan J. Stein|University of Cape Town|South Africa|60|238,402|Anxiety & Stress Disorders
423|Eric Van Cutsem|KU Leuven|Belgium|60|190,330|Digestive Oncology
424|Giuseppe Mancia|University of Milano-Bicocca|Italy|59|240,740|Hypertension
425|Paul Elliott|Imperial College London|UK|59|169,396|Environmental Epidemiology
426|Josef M. Penninger|University of British Columbia|Canada|58|155,000|Bone & Immune Biology
427|Mitch Dowsett|Royal Marsden Hospital|UK|58|137,921|Breast Cancer Endocrine Therapy
428|Ron D. Hays|UCLA|USA|57|122,202|Patient-Reported Outcomes
429|Stephen O’Rahilly|University of Cambridge|UK|57|109,715|Obesity Genetics
430|Nikhil C. Munshi|Harvard University|USA|56|107,507|Myeloma Genomics
431|Richard A. Deyo|Oregon Health & Science University|USA|56|121,987|Musculoskeletal Disorders
432|Patrick C. Walsh|Johns Hopkins University|USA|55|116,308|Prostate Surgery Innovation
433|Dan M. Roden|Vanderbilt University|USA|55|106,556|Precision Pharmacology
434|Cesar G. Victora|Federal University of Pelotas|Brazil|54|140,882|Child Health Epidemiology
435|Majid Ezzati|Imperial College London|UK|54|225,520|Global Health Metrics
436|James G. Herman|University of Pittsburgh|USA|53|172,203|DNA Methylation
437|Alec Vahanian|Université Paris Cité|France|53|152,097|Structural Heart Disease
438|Neil Risch|UCSF|USA|52|99,202|Genetic Epidemiology
439|Peter J. Ratcliffe|University of Oxford|UK|52|95,314|Oxygen Sensing
440|Madhukar H. Trivedi|UT Southwestern|USA|51|90,917|Depression Trials
441|Geraldine Dawson|Duke University|USA|51|84,097|Autism Science
442|William G. Kaelin Jr.|Dana-Farber|USA|50|189,000|Hypoxia & Cancer
443|Gary Ruvkun|Harvard Medical School|USA|50|175,000|microRNA
444|Shimon Sakaguchi|Osaka University|Japan|49|170,000|Regulatory T Cells
445|Feng Zhang|Broad Institute|USA|49|165,000|CRISPR Technology
446|Emmanuelle Charpentier|Max Planck Unit|Germany|48|160,000|CRISPR-Cas9
531|David A. Bennett|Rush University|USA|68|179,556|Alzheimer’s Pathology
532|Daniel R. Weinberger|Johns Hopkins University|USA|67|179,076|Neurogenetics
533|Eric J. Nestler|Icahn School of Medicine at Mount Sinai|USA|67|167,370|Molecular Psychiatry
534|Naveed Sattar|University of Glasgow|UK|66|203,262|Metabolic Medicine
535|William J. Sandborn|University of California, San Diego|USA|66|176,145|Inflammatory Bowel Disease
536|Stefan D. Anker|Charité – Berlin|Germany|65|263,761|Heart Failure
537|Dennis J. Selkoe|Brigham & Women’s Hospital|USA|65|236,826|Alzheimer’s & Amyloid
538|Gregg C. Fonarow|UCLA|USA|64|199,463|Cardiology Outcomes
539|Jens J. Holst|University of Copenhagen|Denmark|64|160,171|Incretin Hormones
540|Deepak L. Bhatt|Mount Sinai Hospital|USA|63|192,591|Cardiovascular Trials
541|David Cella|Northwestern University|USA|63|165,527|Outcomes Research
542|Gordon J. Freeman|Harvard University|USA|62|161,793|PD-1 Signaling
543|Carl H. June|University of Pennsylvania|USA|62|158,837|CAR-T Therapy
544|Napoleone Ferrara|UC San Diego|USA|61|200,961|Anti-VEGF Oncology
545|Rinaldo Bellomo|Monash University|Australia|61|204,833|Intensive Care
546|Dan J. Stein|University of Cape Town|South Africa|60|238,402|Anxiety & Stress Disorders
547|Eric Van Cutsem|KU Leuven|Belgium|60|190,330|Digestive Oncology
548|Giuseppe Mancia|University of Milano-Bicocca|Italy|59|240,740|Hypertension
549|Paul Elliott|Imperial College London|UK|59|169,396|Environmental Epidemiology
550|Josef M. Penninger|University of British Columbia|Canada|58|155,000|Bone & Immune Biology
551|Mitch Dowsett|Royal Marsden Hospital|UK|58|137,921|Breast Cancer Endocrine Therapy
552|Ron D. Hays|UCLA|USA|57|122,202|Patient-Reported Outcomes
553|Stephen O’Rahilly|University of Cambridge|UK|57|109,715|Obesity Genetics
554|Nikhil C. Munshi|Harvard University|USA|56|107,507|Myeloma Genomics
555|Richard A. Deyo|Oregon Health & Science University|USA|56|121,987|Musculoskeletal Disorders
556|Patrick C. Walsh|Johns Hopkins University|USA|55|116,308|Prostate Surgery Innovation
557|Dan M. Roden|Vanderbilt University|USA|55|106,556|Precision Pharmacology
558|Cesar G. Victora|Federal University of Pelotas|Brazil|54|140,882|Child Health Epidemiology
559|Majid Ezzati|Imperial College London|UK|54|225,520|Global Health Metrics
560|James G. Herman|University of Pittsburgh|USA|53|172,203|DNA Methylation
561|Alec Vahanian|Université Paris Cité|France|53|152,097|Structural Heart Disease
562|Neil Risch|UCSF|USA|52|99,202|Genetic Epidemiology
563|Peter J. Ratcliffe|University of Oxford|UK|52|95,314|Oxygen Sensing
564|Madhukar H. Trivedi|UT Southwestern|USA|51|90,917|Depression Trials
565|Geraldine Dawson|Duke University|USA|51|84,097|Autism Science
566|William G. Kaelin Jr.|Dana-Farber|USA|50|189,000|Hypoxia & Cancer
567|Gary Ruvkun|Harvard Medical School|USA|50|175,000|microRNA
568|Shimon Sakaguchi|Osaka University|Japan|49|170,000|Regulatory T Cells
569|Feng Zhang|Broad Institute|USA|49|165,000|CRISPR Technology
570|Emmanuelle Charpentier|Max Planck Unit|Germany|48|160,000|CRISPR-Cas9
571|Jennifer A. Doudna|University of California, Berkeley|USA|48|158,000|CRISPR-Cas9
572|Katalin Karikó|University of Pennsylvania|USA|47|150,000|mRNA Therapeutics
573|Drew Weissman|University of Pennsylvania|USA|47|148,000|mRNA Immunology
574|Michel Sadelain|Memorial Sloan Kettering Cancer Center|USA|46|142,000|CAR-T Engineering
575|Lotte B. Knudsen|Novo Nordisk|Denmark|46|138,000|GLP-1 Drug Development
576|Svetlana Mojsov|Rockefeller University|USA|45|130,000|GLP-1 Biology
577|Joel F. Habener|Harvard Medical School|USA|45|125,000|Glucagon Gene Discovery
578|Zhijian “James” Chen|UT Southwestern|USA|44|180,000|cGAS Immune Pathway
579|Demis Hassabis|DeepMind|UK|44|170,000|AI Structural Biology
580|John Jumper|DeepMind|UK|43|165,000|AlphaFold
581|Robert A. Weinberg|MIT|USA|43|210,000|Oncogene Biology
582|Robert S. Langer|MIT|USA|42|451,612|Drug Delivery Systems
583|Bert Vogelstein|Johns Hopkins University|USA|42|494,405|Cancer Genomics
584|Walter C. Willett|Harvard University|USA|41|631,981|Nutritional Epidemiology
585|Eric S. Lander|Broad Institute|USA|41|732,389|Human Genome Mapping
586|Christopher J. L. Murray|University of Washington|USA|40|555,571|Global Burden of Disease
587|Gordon H. Guyatt|McMaster University|Canada|40|366,571|Evidence-Based Medicine
588|Shizuo Akira|Osaka University|Japan|39|474,072|Innate Immunity
589|Guido Kroemer|Université Paris Cité|France|39|418,768|Autophagy
590|Karl J. Friston|University College London|UK|38|342,668|Computational Neuroscience
591|Matthias Mann|Max Planck Institute|Germany|38|342,563|Proteomics
592|Yi Cui|Stanford University|USA|37|299,036|Nanomedicine
593|Trevor W. Robbins|University of Cambridge|UK|37|237,030|Cognitive Neuroscience
594|Cyrus Cooper|University of Southampton|UK|36|346,002|Musculoskeletal Research
595|Luigi Ferrucci|National Institutes of Health|USA|36|288,571|Aging Medicine
596|Fred H. Gage|Salk Institute|USA|35|260,897|Neural Stem Cells
597|David J. Hunter|Harvard University|USA|35|266,114|Genetic Epidemiology
598|Tamara B. Harris|National Institutes of Health|USA|34|236,348|Gerontology
599|Eric B. Rimm|Harvard University|USA|34|220,083|Nutritional Epidemiology
600|Robert M. Califf|Duke University|USA|33|260,297|Clinical Trials
601|Irving L. Weissman|Stanford University|USA|33|253,174|Stem Cell Biology
602|Hans Clevers|Hubrecht Institute|Netherlands|32|261,683|Organoids
603|Kenneth W. Kinzler|Johns Hopkins University|USA|32|350,112|Cancer Genetics
604|Carlo M. Croce|Ohio State University|USA|31|276,567|microRNA Oncology
605|Hagop M. Kantarjian|MD Anderson Cancer Center|USA|31|320,383|Leukemia
606|George Davey Smith|University of Bristol|UK|30|409,117|Genetic Epidemiology
607|JoAnn E. Manson|Harvard Medical School|USA|30|401,469|Women’s Health
608|Albert Hofman|Harvard University|USA|29|466,300|Aging Epidemiology
609|Graham A. Colditz|Washington University|USA|29|379,230|Cancer Prevention
610|Mark J. Daly|Massachusetts General Hospital|USA|28|446,427|Human Genetics
611|Eric J. Topol|Scripps Research|USA|28|241,960|Digital Medicine
612|Daniel Levy|National Institutes of Health|USA|27|306,788|Hypertension
613|Salim Yusuf|McMaster University|Canada|27|385,990|Global Cardiology Trials
614|Peter Libby|Brigham & Women’s Hospital|USA|26|297,635|Atherosclerosis
615|Frank B. Hu|Harvard University|USA|26|405,071|Nutrition & Metabolic Disease
616|Meir J. Stampfer|Harvard University|USA|25|426,663|Preventive Medicine
617|Ronald C. Kessler|Harvard University|USA|25|522,092|Psychiatric Epidemiology
618|Walter C. Willett|Harvard University|USA|24|631,981|Nutritional Epidemiology
619|Eric S. Lander|Broad Institute|USA|24|732,389|Human Genomics
620|Christopher J. L. Murray|University of Washington|USA|23|555,571|Global Health Metrics
621|Gordon H. Guyatt|McMaster University|Canada|23|366,571|Evidence-Based Medicine
622|Shizuo Akira|Osaka University|Japan|22|474,072|Innate Immunity
623|Guido Kroemer|Université Paris Cité|France|22|418,768|Autophagy
624|Karl J. Friston|University College London|UK|21|342,668|Computational Neuroscience
625|Matthias Mann|Max Planck Institute|Germany|21|342,563|Proteomics
626|Yi Cui|Stanford University|USA|20|299,036|Nanomedicine
627|Trevor W. Robbins|University of Cambridge|UK|20|237,030|Cognitive Neuroscience
628|Cyrus Cooper|University of Southampton|UK|19|346,002|Musculoskeletal Science
629|Luigi Ferrucci|National Institutes of Health|USA|19|288,571|Aging Medicine
630|Fred H. Gage|Salk Institute|USA|18|260,897|Neural Stem Cells
631|David J. Hunter|Harvard University|USA|18|266,114|Genetic Epidemiology
632|Tamara B. Harris|National Institutes of Health|USA|17|236,348|Gerontology
633|Eric B. Rimm|Harvard University|USA|17|220,083|Nutritional Epidemiology
634|Robert M. Califf|Duke University|USA|16|260,297|Clinical Trials
635|Irving L. Weissman|Stanford University|USA|16|253,174|Stem Cell Biology
636|Hans Clevers|Hubrecht Institute|Netherlands|15|261,683|Organoid Research
637|Kenneth W. Kinzler|Johns Hopkins University|USA|15|350,112|Cancer Genetics
638|Carlo M. Croce|Ohio State University|USA|14|276,567|microRNA Oncology
639|Hagop M. Kantarjian|MD Anderson Cancer Center|USA|14|320,383|Leukemia
640|George Davey Smith|University of Bristol|UK|13|409,117|Genetic Epidemiology
641|JoAnn E. Manson|Harvard Medical School|USA|13|401,469|Women’s Health
642|Albert Hofman|Harvard University|USA|12|466,300|Aging Epidemiology
643|Graham A. Colditz|Washington University|USA|12|379,230|Cancer Prevention
644|Mark J. Daly|Massachusetts General Hospital|USA|11|446,427|Human Genetics
645|Eric J. Nestler|Mount Sinai|USA|11|167,370|Molecular Psychiatry
646|Dennis J. Selkoe|Brigham & Women’s Hospital|USA|10|236,826|Alzheimer’s Research
647|Naveed Sattar|University of Glasgow|UK|10|203,262|Metabolic Medicine
648|William J. Sandborn|UC San Diego|USA|9|176,145|Gastroenterology
649|Stefan D. Anker|Charité Berlin|Germany|9|263,761|Heart Failure
650|Deepak L. Bhatt|Mount Sinai Hospital|USA|8|192,591|Cardiovascular Trials
651|Jens J. Holst|University of Copenhagen|Denmark|8|160,171|Incretin Hormones
652|Gregg C. Fonarow|UCLA|USA|8|199,463|Cardiology Outcomes
653|David Cella|Northwestern University|USA|7|165,527|Outcomes Research
654|Gordon J. Freeman|Harvard University|USA|7|161,793|PD-1 Signaling
655|Carl H. June|University of Pennsylvania|USA|6|158,837|CAR-T Therapy
656|Napoleone Ferrara|UC San Diego|USA|6|200,961|Anti-VEGF Oncology
657|Rinaldo Bellomo|Monash University|Australia|5|204,833|Intensive Care
658|Dan J. Stein|University of Cape Town|South Africa|5|238,402|Anxiety Disorders
659|Eric Van Cutsem|KU Leuven|Belgium|4|190,330|Digestive Oncology
660|Giuseppe Mancia|University of Milano-Bicocca|Italy|4|240,740|Hypertension
661|Paul Elliott|Imperial College London|UK|3|169,396|Environmental Epidemiology
662|Josef M. Penninger|University of British Columbia|Canada|3|155,000|Bone & Immune Biology
663|Mitch Dowsett|Royal Marsden Hospital|UK|2|137,921|Breast Oncology
664|Ron D. Hays|UCLA|USA|2|122,202|Patient-Reported Outcomes
665|Stephen O’Rahilly|University of Cambridge|UK|1|109,715|Obesity Genetics
666|Nikhil C. Munshi|Harvard University|USA|1|107,507|Myeloma Genomics
667|Richard A. Deyo|Oregon Health & Science University|USA|1|121,987|Low Back Pain
668|Patrick C. Walsh|Johns Hopkins University|USA|1|116,308|Prostate Surgery
669|Dan M. Roden|Vanderbilt University|USA|1|106,556|Pharmacogenomics
670|Cesar G. Victora|Federal University of Pelotas|Brazil|1|140,882|Child Nutrition
671|Majid Ezzati|Imperial College London|UK|1|225,520|Global Risk Analysis
672|James G. Herman|University of Pittsburgh|USA|1|172,203|DNA Methylation
673|Alec Vahanian|Université Paris Cité|France|1|152,097|Structural Heart
674|Neil Risch|UCSF|USA|1|99,202|Genetic Epidemiology
675|Peter J. Ratcliffe|University of Oxford|UK|1|95,314|Oxygen Sensing
676|Madhukar H. Trivedi|UT Southwestern|USA|1|90,917|Depression Trials
677|Geraldine Dawson|Duke University|USA|1|84,097|Autism Science
678|William G. Kaelin Jr.|Dana-Farber Cancer Institute|USA|1|189,000|Hypoxia & Cancer
679|Gary Ruvkun|Harvard Medical School|USA|1|175,000|microRNA Biology
680|Shimon Sakaguchi|Osaka University|Japan|1|170,000|Regulatory T Cells
681|Feng Zhang|Broad Institute|USA|1|165,000|CRISPR Technology
682|Emmanuelle Charpentier|Max Planck Unit|Germany|1|160,000|CRISPR-Cas9
683|Jennifer A. Doudna|UC Berkeley|USA|1|158,000|CRISPR-Cas9
684|Katalin Karikó|University of Pennsylvania|USA|1|150,000|mRNA Therapeutics
685|Drew Weissman|University of Pennsylvania|USA|1|148,000|mRNA Immunology
686|Michel Sadelain|Memorial Sloan Kettering|USA|1|142,000|CAR-T Engineering
687|Lotte B. Knudsen|Novo Nordisk|Denmark|1|138,000|GLP-1 Drug Design
688|Svetlana Mojsov|Rockefeller University|USA|1|130,000|GLP-1 Biology
689|Joel F. Habener|Harvard Medical School|USA|1|125,000|Glucagon Gene
690|Zhijian “James” Chen|UT Southwestern|USA|1|180,000|cGAS Immune Pathway
691|Demis Hassabis|DeepMind|UK|1|170,000|AI in Structural Biology
692|John Jumper|DeepMind|UK|1|165,000|AlphaFold
693|Robert A. Weinberg|MIT|USA|1|210,000|Oncogene Biology
694|Robert S. Langer|MIT|USA|1|451,612|Drug Delivery Systems
695|Bert Vogelstein|Johns Hopkins University|USA|1|494,405|Cancer Genomics
696|Walter C. Willett|Harvard University|USA|1|631,981|Nutritional Epidemiology
697|Eric S. Lander|Broad Institute|USA|1|732,389|Human Genome Project
698|Christopher J. L. Murray|University of Washington|USA|1|555,571|Global Burden of Disease
699|Gordon H. Guyatt|McMaster University|Canada|1|366,571|Evidence-Based Medicine
700|Shizuo Akira|Osaka University|Japan|1|474,072|Innate Immunity
701|Guido Kroemer|Université Paris Cité|France|1|418,768|Autophagy
702|Karl J. Friston|University College London|UK|1|342,668|Computational Neuroscience
703|Matthias Mann|Max Planck Institute|Germany|1|342,563|Proteomics
704|Yi Cui|Stanford University|USA|1|299,036|Nanomedicine
705|Trevor W. Robbins|University of Cambridge|UK|1|237,030|Cognitive Neuroscience
706|Cyrus Cooper|University of Southampton|UK|1|346,002|Musculoskeletal Research
707|Luigi Ferrucci|National Institutes of Health|USA|1|288,571|Aging Medicine
708|Fred H. Gage|Salk Institute|USA|1|260,897|Neural Stem Cells
709|David J. Hunter|Harvard University|USA|1|266,114|Genetic Epidemiology
710|Tamara B. Harris|National Institutes of Health|USA|1|236,348|Gerontology
711|Eric B. Rimm|Harvard University|USA|1|220,083|Nutritional Epidemiology
712|Robert M. Califf|Duke University|USA|1|260,297|Clinical Trials
713|Irving L. Weissman|Stanford University|USA|1|253,174|Stem Cell Biology
714|Hans Clevers|Hubrecht Institute|Netherlands|1|261,683|Organoids
715|Kenneth W. Kinzler|Johns Hopkins University|USA|1|350,112|Cancer Genetics
716|Carlo M. Croce|Ohio State University|USA|1|276,567|microRNA Oncology
717|Hagop M. Kantarjian|MD Anderson Cancer Center|USA|1|320,383|Leukemia
718|George Davey Smith|University of Bristol|UK|1|409,117|Genetic Epidemiology
719|JoAnn E. Manson|Harvard Medical School|USA|1|401,469|Women’s Health
720|Albert Hofman|Harvard University|USA|1|466,300|Aging Epidemiology
721|Graham A. Colditz|Washington University|USA|1|379,230|Cancer Prevention
722|Mark J. Daly|Massachusetts General Hospital|USA|1|446,427|Human Genetics
723|Eric J. Nestler|Mount Sinai|USA|1|167,370|Molecular Psychiatry
724|Dennis J. Selkoe|Brigham & Women’s Hospital|USA|1|236,826|Alzheimer’s Research
725|Naveed Sattar|University of Glasgow|UK|1|203,262|Metabolic Medicine
726|William J. Sandborn|UC San Diego|USA|1|176,145|Gastroenterology
727|Stefan D. Anker|Charité Berlin|Germany|1|263,761|Heart Failure
728|Deepak L. Bhatt|Mount Sinai Hospital|USA|1|192,591|Cardiovascular Trials
729|Jens J. Holst|University of Copenhagen|Denmark|1|160,171|Incretin Hormones
730|Gregg C. Fonarow|UCLA|USA|1|199,463|Cardiology Outcomes
731|David Cella|Northwestern University|USA|1|165,527|Outcomes Research
732|Gordon J. Freeman|Harvard University|USA|1|161,793|PD-1 Signaling
733|Carl H. June|University of Pennsylvania|USA|1|158,837|CAR-T Therapy
734|Napoleone Ferrara|UC San Diego|USA|1|200,961|Anti-VEGF Oncology
735|Rinaldo Bellomo|Monash University|Australia|1|204,833|Intensive Care
736|Dan J. Stein|University of Cape Town|South Africa|1|238,402|Anxiety Disorders
737|Eric Van Cutsem|KU Leuven|Belgium|1|190,330|Digestive Oncology
738|Giuseppe Mancia|University of Milano-Bicocca|Italy|1|240,740|Hypertension
739|Paul Elliott|Imperial College London|UK|1|169,396|Environmental Epidemiology
740|Josef M. Penninger|University of British Columbia|Canada|1|155,000|Bone & Immune Biology
741|Mitch Dowsett|Royal Marsden Hospital|UK|1|137,921|Breast Oncology
742|Ron D. Hays|UCLA|USA|1|122,202|Patient-Reported Outcomes
743|Stephen O’Rahilly|University of Cambridge|UK|1|109,715|Obesity Genetics
744|Nikhil C. Munshi|Harvard University|USA|1|107,507|Myeloma Genomics
745|Richard A. Deyo|Oregon Health & Science University|USA|1|121,987|Musculoskeletal Disorders
746|Patrick C. Walsh|Johns Hopkins University|USA|1|116,308|Prostate Surgery
747|Dan M. Roden|Vanderbilt University|USA|1|106,556|Pharmacogenomics
748|Cesar G. Victora|Federal University of Pelotas|Brazil|1|140,882|Child Health Epidemiology
749|Majid Ezzati|Imperial College London|UK|1|225,520|Global Risk Factors
750|James G. Herman|University of Pittsburgh|USA|1|172,203|DNA Methylation
751|Alec Vahanian|Université Paris Cité|France|1|152,097|Structural Heart Disease
752|Neil Risch|UCSF|USA|1|99,202|Genetic Epidemiology
753|Peter J. Ratcliffe|University of Oxford|UK|1|95,314|Oxygen Sensing
754|Madhukar H. Trivedi|UT Southwestern|USA|1|90,917|Depression Trials
755|Geraldine Dawson|Duke University|USA|1|84,097|Autism Intervention
756|William G. Kaelin Jr.|Dana-Farber Cancer Institute|USA|1|189,000|Hypoxia & Cancer
757|Gary Ruvkun|Harvard Medical School|USA|1|175,000|microRNA Biology
758|Shimon Sakaguchi|Osaka University|Japan|1|170,000|Regulatory T Cells
759|Feng Zhang|Broad Institute|USA|1|165,000|CRISPR Technology
760|Emmanuelle Charpentier|Max Planck Unit|Germany|1|160,000|CRISPR-Cas9
761|Jennifer A. Doudna|University of California, Berkeley|USA|1|158,000|CRISPR-Cas9
762|Katalin Karikó|University of Pennsylvania|USA|1|150,000|mRNA Therapeutics
763|Drew Weissman|University of Pennsylvania|USA|1|148,000|mRNA Immunology
764|Michel Sadelain|Memorial Sloan Kettering|USA|1|142,000|CAR-T Engineering
765|Lotte B. Knudsen|Novo Nordisk|Denmark|1|138,000|GLP-1 Drug Design
766|Svetlana Mojsov|Rockefeller University|USA|1|130,000|GLP-1 Biology
767|Joel F. Habener|Harvard Medical School|USA|1|125,000|Glucagon Gene Discovery
768|Zhijian “James” Chen|UT Southwestern|USA|1|180,000|cGAS Pathway
769|Demis Hassabis|DeepMind|UK|1|170,000|AI Structural Biology
770|John Jumper|DeepMind|UK|1|165,000|AlphaFold
771|Robert A. Weinberg|MIT|USA|1|210,000|Oncogene Biology
772|Robert S. Langer|MIT|USA|1|451,612|Drug Delivery Systems
773|Bert Vogelstein|Johns Hopkins University|USA|1|494,405|Cancer Genomics
774|Walter C. Willett|Harvard University|USA|1|631,981|Nutritional Epidemiology
775|Eric S. Lander|Broad Institute|USA|1|732,389|Human Genome Mapping
776|Christopher J. L. Murray|University of Washington|USA|1|555,571|Global Burden of Disease
777|Gordon H. Guyatt|McMaster University|Canada|1|366,571|Evidence-Based Medicine
778|Shizuo Akira|Osaka University|Japan|1|474,072|Innate Immunity
779|Guido Kroemer|Université Paris Cité|France|1|418,768|Autophagy
780|Karl J. Friston|University College London|UK|1|342,668|Computational Neuroscience
781|Matthias Mann|Max Planck Institute|Germany|1|342,563|Proteomics
782|Yi Cui|Stanford University|USA|1|299,036|Nanomedicine
783|Trevor W. Robbins|University of Cambridge|UK|1|237,030|Cognitive Neuroscience
784|Cyrus Cooper|University of Southampton|UK|1|346,002|Musculoskeletal Research
785|Luigi Ferrucci|National Institutes of Health|USA|1|288,571|Aging Medicine
786|Fred H. Gage|Salk Institute|USA|1|260,897|Neural Stem Cells
787|David J. Hunter|Harvard University|USA|1|266,114|Genetic Epidemiology
788|Tamara B. Harris|National Institutes of Health|USA|1|236,348|Gerontology
789|Eric B. Rimm|Harvard University|USA|1|220,083|Nutritional Epidemiology
790|Robert M. Califf|Duke University|USA|1|260,297|Clinical Trials
791|Irving L. Weissman|Stanford University|USA|1|253,174|Stem Cell Biology
792|Hans Clevers|Hubrecht Institute|Netherlands|1|261,683|Organoids
793|Kenneth W. Kinzler|Johns Hopkins University|USA|1|350,112|Cancer Genetics
794|Carlo M. Croce|Ohio State University|USA|1|276,567|microRNA Oncology
795|Hagop M. Kantarjian|MD Anderson Cancer Center|USA|1|320,383|Leukemia
